Items,Nominal Optical Transmission Power (dBm),Wavelength,Modulator Type,"Vbias
(V)","RF Signal	","Modulation Type	",RF Bits,Transmission Rate (bps),RF Voltage (mV),"""RF Power (dBm)""	","""RF Amplifier TX (dB)""	(dB)",SFM (km),SMF Attenuation,"""Dispersion (ps/nm·km)""	","Attenuation (dB)	",Splitter ,"Filter	",Optical Amplifier Current (mA) SOA,PRx (dBm),Photodiode,Maximum Allowed Optical Power (dBm),"""Optical Receiver Responsivity (A/W)""	","Detector BW	",RF Amplifier (RX) (dB),BER,EVM,Q-Factor,Transmission Quality,,,,,,,,,,,,,,,,,,,,
21,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,10,0,0,2.67E-01,-16.56,Pin,-3,0.8,1.00E+10,29,2.93E-51,6.66,15.01501502,Excelente
22,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,11,0,0,2.67E-01,-17.59,Pin,-3,0.8,1.00E+10,29,2.19E-50,6.72,14.88095238,Excelente
23,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,12,0,0,2.67E-01,-18.61,Pin,-3,0.8,1.00E+10,29,4.06E-49,6.81,14.68428781,Excelente
24,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,13,0,0,2.67E-01,-19.6,Pin,-3,0.8,1.00E+10,29,7.46E-47,6.98,14.32664756,Excelente
25,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,14,0,0,2.67E-01,-20.57,Pin,-3,0.8,1.00E+10,29,3.70E-44,7.2,13.88888889,Excelente
26,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,15,0,0,2.67E-01,-21.56,Pin,-3,0.8,1.00E+10,29,4.84E-40,7.58,13.19261214,Excelente
27,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,16,0,0,2.67E-01,-22.53,Pin,-3,0.8,1.00E+10,29,4.52E-35,8.13,12.300123,Excelente
28,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,17,0,0,2.67E-01,-23.54,Pin,-3,0.8,1.00E+10,29,3.17E-29,8.96,11.16071429,Excelente
29,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,18,0,0,2.67E-01,-24.54,Pin,-3,0.8,1.00E+10,29,2.27E-23,10.11,9.891196835,Excelente
30,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,19,0,0,2.67E-01,-25.52,Pin,-3,0.8,1.00E+10,29,3.55E-18,11.61,8.613264427,Excelente
31,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,20,0,0,2.67E-01,-26.49,Pin,-3,0.8,1.00E+10,29,1.90E-13,13.77,7.262164125,Excelente
32,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,21,0,0,2.67E-01,-27.49,Pin,-3,0.8,1.00E+10,29,7.26E-10,16.53,6.049606776,Excelente
33,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,22,0,0,2.67E-01,-28.45,Pin,-3,0.8,1.00E+10,29,2.76E-07,19.97,5.007511267,Excelente
34,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,23,0,0,2.67E-01,-29.44,Pin,-3,0.8,1.00E+10,29,2.71E-05,24.77,4.037141704,Excelente
35,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,24,0,0,2.67E-01,-30.54,Pin,-3,0.8,1.00E+10,29,6.06E-04,30.9,3.236245955,Excelente
36,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,25,0,0,2.67E-01,-31.44,Pin,-3,0.8,1.00E+10,29,4.01E-03,37.72,2.651113468,Aceptable
37,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,26,0,0,2.67E-01,-32.56,Pin,-3,0.8,1.00E+10,29,1.82E-02,47.78,2.09292591,Mala Señal
38,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,27,0,0,2.67E-01,-33.39,Pin,-3,0.8,1.00E+10,29,3.69E-02,55.94,1.787629603,Mala Señal
39,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,28,0,0,2.67E-01,-34.41,Pin,-3,0.8,1.00E+10,29,8.77E-02,73.8,1.35501355,Mala Señal
40,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,29,0,0,2.67E-01,-35.4,Pin,-3,0.8,1.00E+10,29,1.15E-01,83.16,1.202501203,Mala Señal
41,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,30,0,0,2.67E-01,-36.39,Pin,-3,0.8,1.00E+10,29,1.74E-01,106.7,0.937207123,Mala Señal
42,8,1.55E-06,8036016 IM,2.4,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,10,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,0,10.36813462,6.82,Excelente
43,8,1.55E-06,8036016 IM,2.4,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,11,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,0,10.84519603,6.52,Excelente
44,8,1.55E-06,8036016 IM,2.4,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,12,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,0,11.11803115,6.36,Excelente
45,8,1.55E-06,8036016 IM,2.4,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,13,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,0,11.4418573,6.18,Excelente
46,8,1.55E-06,8036016 IM,2.4,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,14,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.50E-05,12.04611212,5.87,Excelente
47,8,1.55E-06,8036016 IM,2.4,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,15,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,5.40E-05,12.99828642,5.44,Excelente
48,8,1.55E-06,8036016 IM,2.4,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,16,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,2.30E-04,14.22750063,4.97,Excelente
49,8,1.55E-06,8036016 IM,2.4,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,17,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,9.60E-04,16.10721597,4.39,Excelente
50,8,1.55E-06,8036016 IM,2.4,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,18,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,4.90E-03,19.37278853,3.65,Aceptable
51,8,1.55E-06,8036016 IM,2.4,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,19,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.90E-02,24.2992021,2.91,Mala Señal
52,8,1.55E-06,8036016 IM,2.4,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,20,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,8.20E-02,35.89374524,1.97,Mala Señal
53,8,1.55E-06,8036016 IM,2.4,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,21,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.00E-01,38.22198817,1.85,Mala Señal
54,8,1.55E-06,8036016 IM,2.4,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,22,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.20E-01,42.08968936,1.68,Mala Señal
55,8,1.55E-06,8036016 IM,2.5,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,10,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.04E-02,30.61068317,2.31,Mala Señal
56,8,1.55E-06,8036016 IM,2.5,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,11,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.10E-02,30.87802538,2.29,Mala Señal
57,8,1.55E-06,8036016 IM,2.5,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,12,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,9.24E-03,30.08965026,2.35,Aceptable
58,8,1.55E-06,8036016 IM,2.5,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,13,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.07E-02,30.7437731,2.3,Mala Señal
59,8,1.55E-06,8036016 IM,2.5,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,14,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.13E-02,31.01345532,2.28,Mala Señal
60,8,1.55E-06,8036016 IM,2.5,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,15,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.31E-02,31.99578195,2.21,Mala Señal
61,8,1.55E-06,8036016 IM,2.5,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,16,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,7.17E-05,18.60807319,3.8,Excelente
62,8,1.55E-06,8036016 IM,2.5,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,17,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.01E-02,31.42696805,2.25,Mala Señal
63,8,1.55E-06,8036016 IM,2.5,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,18,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.45E-02,32.73642505,2.16,Mala Señal
64,8,1.55E-06,8036016 IM,2.5,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,19,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.85E-02,34.49301372,2.05,Mala Señal
65,8,1.55E-06,8036016 IM,2.5,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,20,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,2.24E-02,35.7124637,1.98,Mala Señal
66,8,1.55E-06,8036016 IM,2.5,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,21,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,3.59E-02,39.06667299,1.81,Mala Señal
67,8,1.55E-06,8036016 IM,2.5,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,22,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,5.80E-02,42.59679405,1.66,Mala Señal
68,8,1.55E-06,8036016 IM,2.3,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,10,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,4.51E-11,10.91214168,6.48,Excelente
69,8,1.55E-06,8036016 IM,2.3,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,11,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,2.48E-10,11.38658263,6.21,Excelente
70,8,1.55E-06,8036016 IM,2.3,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,12,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,8.62E-10,11.72648062,6.03,Excelente
71,8,1.55E-06,8036016 IM,2.3,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,13,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,7.143-9,12.40538213,5.7,Mala Señal
72,8,1.55E-06,8036016 IM,2.3,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,14,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.33E-07,13.04625058,5.42,Excelente
73,8,1.55E-06,8036016 IM,2.3,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,15,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,4.30E-07,14.11390781,5.01,Excelente
74,8,1.55E-06,8036016 IM,2.3,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,16,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,3.40E-06,15.71348403,4.5,Excelente
75,8,1.55E-06,8036016 IM,2.3,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,17,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,5.95E-06,17.76650204,3.98,Excelente
76,8,1.55E-06,8036016 IM,2.3,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,18,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.39E-02,32.43609088,2.18,Mala Señal
77,8,1.55E-06,8036016 IM,2.3,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,19,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,1.85E-02,34.49301372,2.05,Mala Señal
78,8,1.55E-06,8036016 IM,2.3,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,20,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,2.18E-02,36.26188621,1.95,Mala Señal
79,8,1.55E-06,8036016 IM,2.3,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,21,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,3.99E-02,39.72510007,1.78,Mala Señal
80,8,1.55E-06,8036016 IM,2.3,NRZ,4QAM,1.00E+09,5.00E+08,0.63,-21,29,20,-3.29,17,22,0,0,2.68E-01,N/R,Pin,-3,0.8,1.00E+10,29,7.16E-02,44.4721246,1.59,Mala Señal
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,1,0,0,1.99E-01,-5.05,Pin,-3,0.8,1.00E+10,0,4.71E-56,4.495275151,15.73,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,1.5,0,0,1.99E-01,-5.42,Pin,-3,0.8,1.00E+10,0,1.82E-56,4.478193674,15.79,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,2,0,0,1.99E-01,-5.76,Pin,-3,0.8,1.00E+10,0,7.06E-53,4.633727269,15.26,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,2.5,0,0,1.99E-01,-6.11,Pin,-3,0.8,1.00E+10,0,5.13E-52,4.673541184,15.13,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,3,0,0,1.99E-01,-6.46,Pin,-3,0.8,1.00E+10,0,1.40E-48,4.843197131,14.6,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,3.5,0,0,1.99E-01,-6.78,Pin,-3,0.8,1.00E+10,0,3.17E-44,5.087099145,1.39E+01,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,4,0,0,1.99E-01,-7.11,Pin,-3,0.8,1.00E+10,0,1.37E-44,5.065234822,1.40E+01,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,4.5,0,0,1.99E-01,-7.4,Pin,-3,0.8,1.00E+10,0,5.95E-42,5.230079743,1.35E+01,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,5,0,0,1.99E-01,-7.71,Pin,-3,0.8,1.00E+10,0,1.36E-36,5.620880614,1.26E+01,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,5.5,0,0,1.99E-01,-7.98,Pin,-3,0.8,1.00E+10,0,7.11E-32,6.048817632,1.17E+01,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,6,0,0,1.99E-01,-8.26,Pin,-3,0.8,1.00E+10,0,1.45E-29,6.296587544,1.12E+01,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,6.5,0,0,1.99E-01,-8.51,Pin,-3,0.8,1.00E+10,0,2.28E-26,6.696086943,1.06E+01,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,7,0,0,1.99E-01,-8.76,Pin,-3,0.8,1.00E+10,0,2.49E-24,6.994132356,1.01E+01,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,7.5,0,0,1.99E-01,-8.98,Pin,-3,0.8,1.00E+10,0,9.22E-23,7.252377243,9.75E+00,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,8,0,0,1.99E-01,-9.2,Pin,-3,0.8,1.00E+10,0,1.35E-19,7.874240325,8.98E+00,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,8.5,0,0,1.99E-01,-9.39,Pin,-3,0.8,1.00E+10,0,1.73E-17,8.387980797,8.43E+00,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,9,0,0,1.99E-01,-9.59,Pin,-3,0.8,1.00E+10,0,8.53E-14,9.594393232,7.37E+00,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,9.5,0,0,1.99E-01,-9.76,Pin,-3,0.8,1.00E+10,0,2.99E-12,10.27771484,6.88E+00,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,10,0,0,1.99E-01,-9.93,Pin,-3,0.8,1.00E+10,0,1.40E-10,11.20612965,6.31E+00,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,10.5,0,0,1.99E-01,-10.07,Pin,-3,0.8,1.00E+10,0,6.73E-09,12.44906305,5.68E+00,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,11,0,0,1.99E-01,-10.22,Pin,-3,0.8,1.00E+10,0,2.52E-08,12.97443635,5.45E+00,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,11.5,0,0,1.99E-01,-10.34,Pin,-3,0.8,1.00E+10,0,1.30E-06,15.04482513,4.70E+00,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,12,0,0,1.99E-01,-10.47,Pin,-3,0.8,1.00E+10,0,2.55E-06,15.50672766,4.56E+00,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,12.5,0,0,1.99E-01,-10.56,Pin,-3,0.8,1.00E+10,0,2.33E-04,20.20305089,3.50E+00,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,13,0,0,1.99E-01,-10.67,Pin,-3,0.8,1.00E+10,0,8.74E-04,22.59127096,3.13E+00,Excelente
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,13.5,0,0,1.99E-01,-10.75,Pin,-3,0.8,1.00E+10,0,1.86E-03,24.38299245,2.90E+00,Aceptable
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,14,0,0,1.99E-01,-10.83,Pin,-3,0.8,1.00E+10,0,NA,NA,NA,Mala Señal
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,13056,2500000000,0.63,-21,29,25,4.74,17,14.5,0,0,1.99E-01,-10.9,Pin,-3,0.8,1.00E+10,0,NA,NA,NA,Mala Señal
,6,1.55E-06,8036016 IM,2.497,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,10,0,0,2.24E-01,-16.08,Pin,-3,0.8,1.00E+10,29,7.60E-08,13.46870059,5.25E+00,Excelente
